,offset_start,offset_end,complex_phrase,goldstandard_label,sentence_tokens,sentence_token_labels
47,"[8, 147, 97, 84, 137, 49, 119, 63, 63, 28, 19, 107, 36, 4]","[18, 161, 106, 92, 146, 58, 124, 77, 92, 35, 27, 118, 44, 27]","['Abstimmung', 'Auslandsungarn', 'Erteilung', 'Gesetzes', 'Millionen', 'Parlament', 'Pässe', 'Verabschiedung', 'Verabschiedung eines Gesetzes', 'Vorlage', 'stehende', 'ungarischer', 'verlangt', 'zur Abstimmung stehende']","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","['Die', 'zur', 'Abstimmung', 'stehende', 'Vorlage', 'verlangt', 'vom', 'Parlament', 'die', 'Verabschiedung', 'eines', 'Gesetzes', 'zur', 'Erteilung', 'ungarischer', 'Pässe', 'an', 'die', 'fünf', 'Millionen', 'Auslandsungarn', '.']","[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
48,"[211, 154, 154, 120, 174, 161, 190, 132, 108, 41, 41, 27, 81, 98, 5, 92, 60]","[215, 160, 168, 127, 181, 168, 207, 151, 119, 45, 49, 32, 91, 103, 13, 95, 77]","['Kiew', 'Mikola', 'Mikola Seliwon', 'Richter', 'Samstag', 'Seliwon', 'Urteilsverkündung', 'Verfassungsgerichts', 'Vorsitzende', 'Wahl', 'Wahl aus', 'Weise', 'betrachten', 'sagte', 'schließe', 'sei', 'verfassungswidrig']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]","['Dies', 'schließe', 'sie', 'auf', 'eine', 'Weise', 'von', 'der', 'Wahl', 'aus', ',', 'die', 'als', 'verfassungswidrig', 'zu', 'betrachten', 'sei', ',', 'sagte', 'der', 'Vorsitzende', 'Richter', 'des', 'Verfassungsgerichts', ',', 'Mikola', 'Seliwon', ',', 'am', 'Samstag', 'bei', 'der', 'Urteilsverkündung', 'in', 'Kiew', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
49,"[6, 72, 43, 61, 82, 19, 31]","[18, 81, 53, 66, 89, 26, 42]","['Bestimmungen', 'Microcars', 'Motorräder', 'Quads', 'genannt', 'treffen', 'vierrädrige']","[1, 1, 0, 1, 0, 0, 1]","['Diese', 'Bestimmungen', 'treffen', 'auf', 'vierrädrige', 'Motorräder', ',', 'auch', 'Quads', 'oder', 'Microcars', 'genannt', ',', 'zu', '.']","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
50,"[28, 96, 96, 62, 6, 110, 77, 17, 49, 117, 38]","[37, 105, 116, 70, 16, 116, 92, 23, 56, 124, 44]","['Kilogramm', 'Kilometer', 'Kilometer pro Stunde', 'Kilowatt', 'Kleinwagen', 'Stunde', 'beziehungsweise', 'dürfen', 'maximal', 'schnell', 'wiegen']","[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","['Diese', 'Kleinwagen', 'dürfen', '350', 'Kilogramm', 'wiegen', 'und', 'maximal', 'vier', 'Kilowatt', 'haben', 'beziehungsweise', '45', 'Kilometer', 'pro', 'Stunde', 'schnell', 'sein', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
51,"[60, 20, 36, 77, 10]","[65, 35, 42, 83, 19]","['Firma', 'Konjunkturkrise', 'konnte', 'retten', 'weltweite']","[0, 1, 0, 0, 0]","['Durch', 'die', 'weltweite', 'Konjunkturkrise', 'konnte', 'aber', 'auch', 'er', 'die', 'Firma', 'nicht', 'mehr', 'retten', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"[31, 4, 66, 70, 17]","[40, 16, 69, 77, 22]","['Konferenz', 'Unterhändler', 'Weg', 'gewählt', 'sagte']","[1, 1, 0, 0, 0]","['Ein', 'Unterhändler', 'sagte', 'auf', 'der', 'Konferenz', ',', 'man', 'habe', 'einen', 'anderen', 'Weg', 'gewählt', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[115, 56, 126, 16, 42, 122, 122, 87, 4, 139, 33, 105]","[119, 61, 136, 32, 47, 125, 136, 100, 15, 148, 37, 114]","['Band', 'Brand', 'Callejeros', 'Feuerwerkskörper', 'Grund', 'Los', 'Los Callejeros', 'Rockkonzertes', 'entzündeter', 'ereignete', 'gilt', 'populären']","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]","['Ein', 'entzündeter', 'Feuerwerkskörper', 'gilt', 'als', 'Grund', 'für', 'den', 'Brand', ',', 'der', 'sich', 'während', 'eines', 'Rockkonzertes', 'der', 'populären', 'Band', '„', 'Los', 'Callejeros', '“', 'ereignete', '.']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
54,"[84, 77, 77, 77, 35, 65, 14, 93, 53, 53]","[92, 83, 92, 108, 44, 76, 20, 101, 64, 76]","['Kutschma', 'Leonid', 'Leonid Kutschma', 'Leonid Kutschma gefunden werden', 'Parlament', 'Präsidenten', 'Termin', 'gefunden', 'scheidenden', 'scheidenden Präsidenten']","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","['Ein', 'konkreter', 'Termin', 'muss', 'noch', 'vom', 'Parlament', 'und', 'vom', 'scheidenden', 'Präsidenten', 'Leonid', 'Kutschma', 'gefunden', 'werden', '.']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
55,"[177, 254, 111, 74, 91, 190, 101, 25, 130, 60, 13, 13, 242, 242, 142, 205, 283, 161, 44, 44]","[184, 276, 117, 80, 96, 201, 106, 37, 141, 66, 24, 37, 253, 276, 156, 214, 291, 176, 59, 66]","['Fernseh', 'Informationsversorgung', 'Landes', 'Medien', 'Osten', 'Radiosender', 'Süden', 'Urteilsgrund', 'Wahlkampfes', 'Zugang', 'angeführter', 'angeführter Urteilsgrund', 'ausgewogene', 'ausgewogene Informationsversorgung', 'beispielsweise', 'empfangen', 'erfolgte', 'regierungstreue', 'ungleichmäßiger', 'ungleichmäßiger Zugang']","[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]","['Ein', 'weiterer', 'angeführter', 'Urteilsgrund', 'war', '„', 'ungleichmäßiger', 'Zugang', 'zu', 'den', 'Medien', '“', ',', 'da', 'im', 'Osten', 'und', 'Süden', 'des', 'Landes', 'während', 'des', 'Wahlkampfes', 'beispielsweise', 'nur', 'regierungstreue', 'Fernseh-', 'und', 'Radiosender', 'zu', 'empfangen', 'waren', 'und', 'durch', 'diese', 'eine', 'ausgewogene', 'Informationsversorgung', 'nicht', 'erfolgte', '.']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
56,"[26, 13, 51, 98, 89, 110]","[44, 21, 60, 109, 93, 121]","['Führungsmannschaft', 'Mitglied', 'Prokurist', 'Strafbefehl', 'Zeit', 'abgeurteilt']","[1, 0, 1, 1, 0, 1]","['Ein', 'weiteres', 'Mitglied', 'der', 'Führungsmannschaft', ',', 'ein', 'Prokurist', ',', 'wurde', 'bereits', 'vor', 'einiger', 'Zeit', 'per', 'Strafbefehl', 'abgeurteilt', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
57,"[5, 24, 69, 48]","[19, 47, 73, 55]","['Eintrittskarte', 'Eröffnungsveranstaltung', 'Euro', 'kostete']","[1, 1, 1, 0]","['Eine', 'Eintrittskarte', 'zur', 'Eröffnungsveranstaltung', 'kostete', 'bis', 'zu', '2.000', 'Euro', '.']","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
58,"[83, 64, 73, 17, 28, 5, 43]","[87, 72, 82, 27, 34, 16, 63]","['Böhr', 'CDU-Chef', 'Christoph', 'Niederlage', 'erfuhr', 'persönliche', 'rheinland-pfälzische']","[0, 0, 0, 1, 0, 0, 1]","['Eine', 'persönliche', 'Niederlage', 'erfuhr', 'der', 'der', 'rheinland-pfälzische', 'CDU-Chef', 'Christoph', 'Böhr', '.']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
59,"[48, 12, 119, 88, 77, 67, 107, 59, 5]","[58, 27, 137, 102, 83, 72, 118, 64, 11]","['Abstimmung', 'Gesetzesvorlage', 'Gesundheitssystems', 'Privatisierung', 'Verbot', 'sieht', 'staatlichen', 'steht', 'zweite']","[0, 1, 1, 1, 0, 0, 0, 0, 0]","['Eine', 'zweite', 'Gesetzesvorlage', ',', 'die', 'ebenfalls', 'zur', 'Abstimmung', 'steht', ',', 'sieht', 'ein', 'Verbot', 'der', 'Privatisierung', 'des', 'staatlichen', 'Gesundheitssystems', 'vor', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
60,"[54, 45, 45, 20]","[56, 53, 56, 40]","['AG', 'Conradty', 'Conradty AG', 'Vorstandsvorsitzende']","[1, 0, 1, 1]","['Einer', 'davon', 'war', 'der', 'Vorstandsvorsitzende', 'der', 'Conradty', 'AG', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
61,"[49, 65, 14, 89, 34]","[60, 88, 27, 100, 42]","['Missachtung', 'Sicherheitsvorschriften', 'Vergangenheit', 'aufgefallen', 'mehrfach']","[1, 1, 1, 1, 1]","['Er', 'war', 'in', 'der', 'Vergangenheit', 'schon', 'mehrfach', 'wegen', 'Missachtung', 'von', 'Sicherheitsvorschriften', 'aufgefallen', '.']","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
62,"[71, 71, 71, 0, 47, 43, 107, 107, 19, 97, 112, 79, 37, 54]","[78, 86, 119, 8, 53, 66, 111, 119, 28, 102, 119, 86, 42, 66]","['Antonio', 'Antonio Salieri', 'Antonio Salieri unter der Regie von Luca Ronconi', 'Eröffnet', 'Europa', ""L ' Europa riconosciuta"", 'Luca', 'Luca Ronconi', 'Opernhaus', 'Regie', 'Ronconi', 'Salieri', 'Stück', 'riconosciuta']","[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","['Eröffnet', 'wurde', 'das', 'Opernhaus', 'mit', 'dem', 'Stück', 'L', ""'"", 'Europa', 'riconosciuta', 'von', 'Antonio', 'Salieri', 'unter', 'der', 'Regie', 'von', 'Luca', 'Ronconi', '.']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
63,"[108, 43, 22, 134, 66, 93, 105, 115, 3, 17, 60, 76, 123]","[114, 48, 34, 149, 75, 100, 114, 122, 13, 21, 65, 84, 133]","['Bahnen', 'Busse', 'Haltestellen', 'Liniennetzpläne', 'Schildern', 'Straßen', 'U- Bahnen', 'bekamen', 'entstanden', 'neue', 'neuen', 'versehen', 'veränderte']","[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","['Es', 'entstanden', '18', 'neue', 'Haltestellen', ',', '1.400', 'Busse', 'wurden', 'mit', 'neuen', 'Schildern', 'versehen', ',', '1.300', 'Straßen', 'und', 'U-', 'Bahnen', 'bekamen', 'veränderte', 'Liniennetzpläne', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
64,"[0, 16, 22]","[7, 21, 28]","['Februar', 'Kraft', 'treten']","[0, 0, 0]","['Februar', '2005', 'in', 'Kraft', 'treten', '.']","[0, 0, 0, 0, 0, 0]"
65,"[0, 20]","[7, 31]","['Februar', 'Jugendliche']","[0, 0]","['Februar', '2005', 'können', 'Jugendliche', 'ab', 'dem', '16.']","[0, 0, 0, 0, 0, 0, 0]"
66,"[76, 29, 104, 54, 4, 16, 90]","[89, 46, 121, 69, 15, 20, 94]","['Dieselmotoren', 'Hubraumbegrenzung', 'Hubraumbegrenzung', 'Kubikzentimeter', 'Ottomotoren', 'gibt', 'gibt']","[1, 1, 1, 1, 1, 0, 0]","['Für', 'Ottomotoren', 'gibt', 'es', 'eine', 'Hubraumbegrenzung', 'auf', '50', 'Kubikzentimeter', ',', 'für', 'Dieselmotoren', 'gibt', 'es', 'keine', 'Hubraumbegrenzung', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
67,"[114, 53, 104, 178, 18, 139, 146, 38, 38, 32, 86, 233, 69, 12, 12, 246, 49, 76, 172, 238, 213, 207]","[119, 64, 110, 196, 31, 145, 158, 48, 64, 37, 92, 237, 73, 17, 37, 257, 52, 85, 177, 245, 222, 212]","['Alter', 'Exploration', 'Frauen', 'Gesundheitszustand', 'International', 'Jahren', 'Nichtraucher', 'Simulation', 'Simulation for Exploration', 'Space', 'Studie', 'Tage', 'WISE', 'Women', 'Women International Space', 'auszuhalten', 'for', 'genannten', 'guten', 'liegend', 'motiviert', 'stark']","[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['Für', 'diese', '„', 'Women', 'International', 'Space', 'Simulation', 'for', 'Exploration', '“', '(', 'WISE', ')', 'genannten', 'Studie', 'müssen', 'die', 'Frauen', 'im', 'Alter', 'zwischen', '25', 'und', '40', 'Jahren', 'Nichtraucher', 'sein', ',', 'einen', 'guten', 'Gesundheitszustand', 'haben', 'und', 'stark', 'motiviert', 'sein', ',', '60', 'Tage', 'liegend', 'auszuhalten', '.']","[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
68,"[26, 26, 61, 0, 33, 125, 98, 98, 48]","[32, 43, 85, 9, 43, 137, 124, 137, 56]","['Dritte', 'Dritte Verordnung', 'Fahrerlaubnis-Verordnung', 'Grundlage', 'Verordnung', 'Vorschriften', 'straßenverkehrsrechtlicher', 'straßenverkehrsrechtlicher Vorschriften', 'Änderung']","[0, 1, 1, 0, 1, 1, 1, 1, 1]","['Grundlage', 'dafür', 'ist', 'die', '„', 'Dritte', 'Verordnung', 'zur', 'Änderung', 'der', 'Fahrerlaubnis-Verordnung', 'und', 'anderer', 'straßenverkehrsrechtlicher', 'Vorschriften', '“', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
69,"[59, 152, 3, 52, 52, 169, 136, 112, 31, 124, 99, 181, 70, 20]","[64, 161, 12, 58, 64, 180, 143, 119, 43, 135, 111, 189, 77, 30]","['Aires', 'Anpassung', 'Anschluss', 'Buenos', 'Buenos Aires', 'Klimawandel', 'Ländern', 'Mitteln', 'Tagesordnung', 'betroffenen', 'finanziellen', 'geholfen', 'geklärt', 'offizielle']","[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","['Im', 'Anschluss', 'an', 'die', 'offizielle', 'Tagesordnung', 'soll', 'in', 'Buenos', 'Aires', 'noch', 'geklärt', 'werden', ',', 'mit', 'welchen', 'finanziellen', 'Mitteln', 'den', 'betroffenen', 'Ländern', 'bei', 'der', 'Anpassung', 'an', 'den', 'Klimawandel', 'geholfen', 'werden', 'muss', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
70,"[3, 57, 96, 33, 83, 45, 74, 74]","[8, 69, 113, 40, 91, 52, 82, 113]","['April', 'Nachfolgerin', 'Parteivorsitzende', 'Prozent', 'Schäuble', 'Stimmen', 'Wolfgang', 'Wolfgang Schäuble als Parteivorsitzende']","[0, 1, 1, 1, 0, 0, 0, 1]","['Im', 'April', '2000', 'wurde', 'sie', 'mit', '95,9', 'Prozent', 'der', 'Stimmen', 'die', 'Nachfolgerin', 'von', 'Wolfgang', 'Schäuble', 'als', 'Parteivorsitzende', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
71,"[26, 47, 47, 0, 68, 72, 42]","[37, 65, 71, 10, 69, 80, 46]","['EU-Regelung', 'Führerscheinklasse', 'Führerscheinklasse „ S “', 'Lebensjahr', 'S', 'erwerben', 'neue']","[1, 1, 1, 0, 1, 1, 0]","['Lebensjahr', 'aufgrund', 'einer', 'EU-Regelung', 'die', 'neue', 'Führerscheinklasse', '„', 'S', '“', 'erwerben', '.']","[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]"
72,"[10, 0]","[17, 7]","['Italien', 'Mailand']","[1, 1]","['Mailand', '(', 'Italien', ')', ',', '07.']","[1, 0, 1, 0, 0, 0]"
73,"[135, 34, 122, 15, 63, 0, 79, 166, 55, 93, 47, 7, 108]","[150, 42, 130, 24, 71, 6, 92, 170, 59, 99, 54, 11, 121]","['CDU-Vorsitzende', 'Ergebnis', 'Ergebnis', 'Gegensatz', 'Hannover', 'Merkel', 'Prozentpunkte', 'Wahl', 'Wahl', 'erneut', 'letzten', 'sank', 'schlechtestes']","[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","['Merkel', 'sank', 'im', 'Gegensatz', 'zu', 'ihrem', 'Ergebnis', 'der', 'letzten', 'Wahl', 'in', 'Hannover', 'um', '5,3', 'Prozentpunkte', 'erneut', 'auf', 'ihr', 'schlechtestes', 'Ergebnis', 'als', 'CDU-Vorsitzende', ',', 'sie', 'nahm', 'die', 'Wahl', 'aber', 'trotzdem', 'an', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"[28, 0, 20, 10]","[38, 9, 27, 15]","['Kleinwagen', 'Microcars', 'normale', 'sehen']","[0, 1, 0, 0]","['Microcars', 'sehen', 'wie', 'normale', 'Kleinwagen', 'aus', ',', 'sind', 'aber', 'entsprechend', 'kleiner', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,"[33, 0, 0, 7, 15]","[49, 6, 14, 14, 22]","['Interfax-Ukraine', 'Mikola', 'Mikola Seliwon', 'Seliwon', 'äußerte']","[1, 0, 1, 0, 0]","['Mikola', 'Seliwon', 'äußerte', 'gegenüber', 'Interfax-Ukraine', '.']","[0, 0, 0, 0, 1, 0]"
76,"[53, 42, 11, 72, 81, 96]","[63, 48, 29, 78, 93, 106]","['Fahrzeugen', 'Führen', 'Führerscheinklasse', 'Klasse', 'Leichtmobile', 'berechtigt']","[0, 0, 0, 0, 1, 1]","['Mit', 'dieser', 'Führerscheinklasse', 'ist', 'man', 'zum', 'Führen', 'von', 'Fahrzeugen', 'aus', 'der', 'Klasse', '„', 'Leichtmobile', '“', 'berechtigt', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
77,"[20, 59, 35, 84, 13, 94, 71, 49]","[30, 70, 42, 87, 19, 101, 74, 58]","['Greenpeace', 'Klimaschutz', 'Meinung', 'USA', 'bleibt', 'möglich', 'sei', 'wirksamer']","[1, 1, 1, 1, 0, 0, 0, 1]","['Nach', 'wie', 'vor', 'bleibt', 'Greenpeace', 'der', 'Meinung', ',', 'ein', 'wirksamer', 'Klimaschutz', 'sei', 'ohne', 'die', 'USA', 'nicht', 'möglich', '.']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
78,"[19, 11, 29]","[28, 14, 37]","['Protokoll', 'USA', 'ablehnen']","[1, 0, 0]","['Obwohl', 'die', 'USA', 'das', 'Protokoll', 'ablehnen', ',', 'kann', 'es', 'am', '16.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
79,"[80, 22, 66, 30]","[88, 29, 79, 43]","['Ergebnis', 'Prozent', 'schlechtestes', 'wiedergewählt']","[0, 0, 0, 1]","['Obwohl', 'er', 'mit', '55', ',', '42', 'Prozent', 'wiedergewählt', 'wurde', ',', 'war', 'dies', 'sein', 'schlechtestes', 'Ergebnis', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"[23, 9, 40]","[39, 15, 52]","['Fahrgastumfragen', 'Sommer', 'durchgeführt']","[1, 0, 0]","['Seit', 'dem', 'Sommer', 'wurden', 'Fahrgastumfragen', 'durchgeführt', '.']","[0, 0, 0, 0, 1, 0, 0]"
81,"[0, 20, 47, 3, 39, 31]","[2, 26, 56, 10, 46, 38]","['So', 'Urteil', 'angesehen', 'gesehen', 'harmlos', 'relativ']","[0, 0, 0, 0, 0, 1]","['So', 'gesehen', 'wird', 'das', 'Urteil', 'als', 'relativ', 'harmlos', 'angesehen', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
82,"[79, 0, 107, 64, 26]","[93, 13, 117, 78, 37]","['Machenschaften', 'Strafmildernd', 'bereichert', 'betrügerischen', 'zugerechnet']","[1, 1, 0, 1, 0]","['Strafmildernd', 'wurde', 'ihnen', 'zugerechnet', ',', 'dass', 'sie', 'sich', 'durch', 'die', 'betrügerischen', 'Machenschaften', 'nicht', 'selbst', 'bereichert', 'haben', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
83,"[89, 76, 68, 26, 122, 60, 53, 53, 109, 16]","[99, 82, 75, 32, 134, 65, 59, 82, 121, 25]","['Angehörige', 'Armani', 'Giorgio', 'Gästen', 'Königshäuser', 'Loren', 'Sophia', 'Sophia Loren , Giorgio Armani', 'europäischer', 'geladenen']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","['Unter', 'den', '2.000', 'geladenen', 'Gästen', 'waren', 'unter', 'anderem', 'Sophia', 'Loren', ',', 'Giorgio', 'Armani', 'sowie', 'Angehörige', 'mehrerer', 'europäischer', 'Königshäuser', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
84,"[18, 86, 55, 139, 0, 34, 95]","[25, 94, 64, 150, 17, 42, 105]","['Angaben', 'Besucher', 'Discothek', 'Jugendliche', 'Unterschiedlichen', 'befanden', 'konzipiert']","[1, 0, 0, 0, 1, 0, 1]","['Unterschiedlichen', 'Angaben', 'zufolge', 'befanden', 'sich', 'in', 'der', 'Discothek', ',', 'die', 'für', 'etwa', '1.300', 'Besucher', 'konzipiert', 'wurde', ',', 'zwischen', '3.000', 'und', '6.000', 'Jugendliche', '.']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
85,"[17, 49, 7, 131, 121, 148, 62, 104, 26, 75, 86]","[25, 58, 16, 139, 128, 156, 68, 116, 31, 85, 95]","['Magyaren', 'Millionen', 'Millionen', 'Rumänien', 'Serbien', 'Slowakei', 'Ungarn', 'Wesentlichen', 'leben', 'restlichen', 'verteilen']","[1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0]","['Von', '15', 'Millionen', 'Magyaren', 'leben', 'seitdem', 'nur', 'zehn', 'Millionen', 'in', 'Ungarn', ',', 'die', 'restlichen', 'verteilen', 'sich', 'im', 'Wesentlichen', 'auf', 'Serbien', ',', 'Rumänien', 'und', 'die', 'Slowakei', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
86,"[219, 135, 89, 157, 71, 211, 173, 279, 269, 33, 189, 231, 6, 150, 82, 82, 150, 244, 300, 122, 122, 56, 113, 261]","[226, 149, 101, 170, 81, 218, 179, 299, 274, 42, 196, 238, 24, 156, 88, 101, 170, 256, 310, 134, 149, 70, 121, 268]","['Gericht', 'Herausforderer', 'Janukowitsch', 'Juschtschenko', 'Kandidaten', 'Oberste', 'Partei', 'Präsidentschaftswahl', 'Runde', 'Stichwahl', 'Ukraine', 'Ukraine', 'Unregelmäßigkeiten', 'Viktor', 'Viktor', 'Viktor Janukowitsch', 'Viktor Juschtschenko', 'Wiederholung', 'angeordnet', 'orientierten', 'orientierten Herausforderer', 'pro-russischen', 'westlich', 'zweiten']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]","['Wegen', 'Unregelmäßigkeiten', 'bei', 'der', 'Stichwahl', 'zwischen', 'dem', 'pro-russischen', 'Kandidaten', 'Viktor', 'Janukowitsch', 'und', 'seinem', 'westlich', 'orientierten', 'Herausforderer', 'Viktor', 'Juschtschenko', '(', 'Partei', '„', 'Unsere', 'Ukraine', '“', ')', 'hatte', 'das', 'Oberste', 'Gericht', 'der', 'Ukraine', 'eine', 'Wiederholung', 'der', 'zweiten', 'Runde', 'der', 'Präsidentschaftswahl', 'angeordnet', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
87,"[96, 96, 20, 72, 60, 60, 0, 80, 108, 104, 32]","[103, 115, 31, 79, 67, 79, 9, 87, 115, 107, 49]","['Grenzen', 'Grenzen neu gezogen', 'Kaiserreich', 'Trianon', 'Vertrag', 'Vertrag von Trianon', 'Weltkrieg', 'geteilt', 'gezogen', 'neu', 'Österreich-Ungarn']","[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['Weltkrieg', 'wurde', 'das', 'Kaiserreich', 'Österreich-Ungarn', 'durch', 'den', 'Vertrag', 'von', 'Trianon', 'geteilt', 'und', 'die', 'Grenzen', 'neu', 'gezogen', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
88,"[107, 34, 45, 89, 123, 0, 138, 17, 78, 58, 51]","[118, 41, 50, 101, 137, 6, 146, 33, 88, 64, 57]","['Genehmigung', 'Gründen', 'Hause', 'Samstagabend', 'Wahlkommission', 'Wähler', 'erhalten', 'gesundheitlichen', 'spätestens', 'wollen', 'wählen']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['Wähler', ',', 'die', 'aus', 'gesundheitlichen', 'Gründen', 'zu', 'Hause', 'wählen', 'wollen', ',', 'müssen', 'bis', 'spätestens', 'Samstagabend', 'eine', 'Genehmigung', 'der', 'Wahlkommission', 'erhalten', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
